Simulation Identification;PaperSim2_
Initial Battery;2.52E7
Sensor Cover Radius;70.0
Node Idle Energy Cost;0.6
CPU Processing Energy Cost;420.0
Communication Cost;479.62152
Communication Channel Type:eboracum.pathloss.LogDistanceChannel
Transmission Power;14.0
Receiver Sensivity;-104.0
Antenna Gain;2.15
Frequency;9.15E8
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.SimpleWSNNode;36
Summary of Events
Class Name;Type;Number of Instances;
eboracum.wsn.network.node.PeriodicEvent;E4;36;

Results
Simulation Total Time;39945600
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.PeriodicEvent;E4_21;E4;1388;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode32;0;30431;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_13;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode12;0;38131;12067;1;1097;31586111.8636
eboracum.wsn.event.PeriodicEvent;E4_35;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_3;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_7;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode4;0;21376;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode29;0;17749;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_9;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode13;0;48375;12900;1;1075;30935637.32
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode1;0;46199;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_11;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode19;0;56817;7350;1;1225;35267136.38
eboracum.wsn.event.PeriodicEvent;E4_22;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode35;0;11024;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode0;0;36970;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_32;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode17;0;22961;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode33;0;24468;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode26;0;48519;2702;1;1351;38894404.4216
eboracum.wsn.event.PeriodicEvent;E4_19;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_23;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode22;0;35156;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode5;0;13462;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode18;0;51375;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_34;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_0;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_8;E4;1388;0
Total Number of Sensed Events by the WSN;41882
Number of Sensed Events by the WSN per Day
1;109
2;108
3;108
4;108
5;108
6;108
7;108
8;108
9;108
10;108
11;108
12;108
13;108
14;108
15;108
16;108
17;108
18;108
19;108
20;108
21;108
22;108
23;108
24;108
25;108
26;108
27;108
28;108
29;108
30;108
31;108
32;108
33;108
34;108
35;108
36;108
37;108
38;108
39;108
40;108
41;108
42;108
43;108
44;108
45;108
46;108
47;108
48;108
49;108
50;108
51;108
52;108
53;108
54;108
55;108
56;108
57;108
58;108
59;108
60;108
61;108
62;108
63;108
64;108
65;108
66;108
67;108
68;108
69;108
70;108
71;108
72;108
73;108
74;108
75;108
76;108
77;108
78;108
79;108
80;108
81;108
82;108
83;108
84;108
85;108
86;108
87;108
88;108
89;108
90;108
91;108
92;108
93;108
94;108
95;108
96;108
97;108
98;108
99;108
100;108
101;108
102;108
103;108
104;108
105;108
106;108
107;108
108;108
109;108
110;108
111;108
112;108
113;108
114;108
115;108
116;108
117;108
118;108
119;108
120;108
121;108
122;108
123;108
124;108
125;108
126;108
127;108
128;108
129;108
130;108
131;108
132;108
133;108
134;108
135;108
136;108
137;108
